id,address_id,warehouse_id,max_loading_weight,max_loading_volume
326,250,250,20500,205000
2063,251,251,122990,1229900
1475,252,252,42588,425880
1770,253,253,86779,867790
608,254,254,104140,1041400
1771,255,255,1020,10200
1772,256,256,43264,432640
1773,257,257,25957,259570
1476,258,258,45924,459240
1477,259,259,209790,2097900
33,260,260,128440,1284400
34,261,261,21402,214020
35,262,262,558060,5580600
1478,263,263,107830,1078300
609,264,264,360888,3608880
327,265,265,155290,1552900
1197,266,266,142576,1425760
1479,267,267,45924,459240
610,268,268,45292,452920
1480,269,269,53800,538000
2064,270,270,45630,456300
328,271,271,370457,3704570
905,272,272,68544,685440
1481,273,273,90363,903630
1198,274,274,69048,690480
1482,275,275,288475,2884750
329,276,276,94116,941160
2065,277,277,337940,3379400
330,278,278,283282,2832820
2066,279,279,48546,485460
2067,280,280,52640,526400
331,281,281,47489,474890
36,282,282,18330,183300
332,283,283,139802,1398020
611,284,284,23288,232880
1483,285,285,282435,2824350
612,286,286,29172,291720
1484,287,287,98441,984410
613,288,288,77472,774720
333,289,289,122536,1225360
2068,290,290,71050,710500
1485,291,291,68967,689670
1486,292,292,144248,1442480
2069,293,293,114563,1145630
906,294,294,170814,1708140
1774,295,295,29795,297950
1487,296,296,79624,796240
907,297,297,24354,243540
2070,298,298,275650,2756500
1488,299,299,98072,980720
908,300,300,24600,246000
37,301,301,53578,535780
2071,302,302,593732,5937320
1199,303,303,103323,1033230
1775,304,304,24928,249280
334,305,305,29890,298900
614,306,306,124542,1245420
335,307,307,105301,1053010
38,308,308,13860,138600
1489,309,309,154500,1545000
909,310,310,107570,1075700
615,311,311,25502,255020
616,312,312,78936,789360
617,313,313,162760,1627600
618,314,314,178980,1789800
910,315,315,53235,532350
336,316,316,392156,3921560
1776,317,317,98270,982700
1200,318,318,60102,601020
39,319,319,109098,1090980
911,320,320,214720,2147200
912,321,321,457104,4571040
40,322,322,471408,4714080
2072,323,323,2907,29070
337,324,324,486000,4860000
41,325,325,133575,1335750
2073,326,326,36186,361860
338,327,327,134397,1343970
619,328,328,55432,554320
1777,329,329,180621,1806210
2074,330,330,188100,1881000
2075,331,331,188670,1886700
1778,332,332,192560,1925600
913,333,333,138861,1388610
42,334,334,27388,273880
914,335,335,63650,636500
1490,336,336,4704,47040
1491,337,337,56953,569530
915,338,338,210574,2105740
339,339,339,145092,1450920
2076,340,340,37740,377400
43,341,341,620961,6209610
620,342,342,139536,1395360
1779,343,343,53165,531650
1201,344,344,174064,1740640
1202,345,345,485760,4857600
44,346,346,176460,1764600
621,347,347,461510,4615100
45,348,348,35496,354960
622,349,349,58981,589810
1203,350,350,101150,1011500
1204,351,351,98280,982800
916,352,352,204512,2045120
340,353,353,4942,49420
46,354,354,333468,3334680
917,355,355,91590,915900
47,356,356,153792,1537920
1492,357,357,60333,603330
1493,358,358,122078,1220780
2077,359,359,398490,3984900
48,360,360,89640,896400
1205,361,361,6498,64980
1494,362,362,123442,1234420
1206,363,363,206910,2069100
1495,364,364,308308,3083080
1207,365,365,355510,3555100
1496,366,366,55998,559980
918,367,367,376542,3765420
1497,368,368,36064,360640
919,369,369,439479,4394790
623,370,370,590890,5908900
1498,371,371,141722,1417220
624,372,372,73656,736560
625,373,373,30586,305860
1780,374,374,172040,1720400
920,375,375,207750,2077500
341,376,376,63544,635440
921,377,377,160225,1602250
626,378,378,8316,83160
1208,379,379,385443,3854430
1781,380,380,99560,995600
1782,381,381,6477,64770
1209,382,382,130262,1302620
1210,383,383,193798,1937980
627,384,384,156672,1566720
342,385,385,229460,2294600
343,386,386,132398,1323980
344,387,387,63468,634680
922,388,388,224652,2246520
1783,389,389,321703,3217030
1211,390,390,65910,659100
2078,391,391,159919,1599190
1212,392,392,162680,1626800
1784,393,393,140694,1406940
1213,394,394,371542,3715420
1785,395,395,75050,750500
2079,396,396,163944,1639440
628,397,397,711424,7114240
345,398,398,252332,2523320
629,399,399,38304,383040
923,400,400,778400,7784000
1214,401,401,72581,725810
346,402,402,38592,385920
1499,403,403,139035,1390350
1786,404,404,165640,1656400
1215,405,405,108945,1089450
630,406,406,190414,1904140
1787,407,407,33374,333740
347,408,408,172992,1729920
2080,409,409,400002,4000020
1788,410,410,69290,692900
924,411,411,140151,1401510
1216,412,412,7004,70040
631,413,413,33866,338660
49,414,414,39744,397440
632,415,415,142345,1423450
1789,416,416,728416,7284160
1790,417,417,163047,1630470
925,418,418,338580,3385800
633,419,419,40224,402240
2081,420,420,70980,709800
1791,421,421,178504,1785040
926,422,422,227880,2278800
634,423,423,239418,2394180
1217,424,424,179776,1797760
1792,425,425,359975,3599750
635,426,426,146118,1461180
2082,427,427,107177,1071770
50,428,428,41944,419440
1500,429,429,164736,1647360
348,430,430,45150,451500
927,431,431,392210,3922100
2083,432,432,245376,2453760
1218,433,433,789792,7897920
928,434,434,35588,355880
1501,435,435,42630,426300
51,436,436,411148,4111480
1219,437,437,73853,738530
1793,438,438,240462,2404620
2084,439,439,150577,1505770
1794,440,440,250800,2508000
349,441,441,217854,2178540
1502,442,442,270504,2705040
636,443,443,206881,2068810
1220,444,444,496836,4968360
1503,445,445,75205,752050
52,446,446,220324,2203240
2085,447,447,45147,451470
350,448,448,156352,1563520
1221,449,449,75881,758810
351,450,450,138600,1386000
637,451,451,222794,2227940
929,452,452,191648,1916480
1795,453,453,140883,1408830
1222,454,454,113954,1139540
1223,455,455,635180,6351800
53,456,456,259920,2599200
2086,457,457,1070294,10702940
1224,458,458,226252,2262520
2087,459,459,200124,2001240
638,460,460,809600,8096000
54,461,461,227734,2277340
1504,462,462,948024,9480240
352,463,463,153716,1537160
2088,464,464,551696,5516960
55,465,465,38130,381300
1796,466,466,45668,456680
1797,467,467,509964,5099640
1505,468,468,606060,6060600
639,469,469,198856,1988560
1798,470,470,191760,1917600
930,471,471,939174,9391740
640,472,472,439432,4394320
1799,473,473,157036,1570360
641,474,474,196236,1962360
1225,475,475,110200,1102000
1506,476,476,601664,6016640
353,477,477,46746,467460
1507,478,478,575990,5759900
1508,479,479,431100,4311000
642,480,480,123840,1238400
643,481,481,847041,8470410
1800,482,482,658894,6588940
2089,483,483,39606,396060
931,484,484,39688,396880
1226,485,485,148410,1484100
2090,486,486,199260,1992600
2091,487,487,444631,4446310
1801,488,488,82472,824720
2092,489,489,54279,542790
56,490,490,82810,828100
1509,491,491,40262,402620
354,492,492,239112,2391120
57,493,493,312562,3125620
1802,494,494,606138,6061380
2093,495,495,40590,405900
2094,496,496,210304,2103040
2095,497,497,83993,839930
1803,498,498,211152,2111520
355,499,499,171157,1711570
1804,500,500,41000,410000
2096,501,501,166332,1663320
58,502,502,171182,1711820
644,503,503,117702,1177020
356,504,504,172872,1728720
645,505,505,209575,2095750
1227,506,506,85514,855140
1228,507,507,249444,2494440
2097,508,508,25400,254000
1805,509,509,41738,417380
1806,510,510,51510,515100
1229,511,511,57232,572320
1807,512,512,86528,865280
59,513,513,319599,3195990
2098,514,514,42148,421480
932,515,515,170980,1709800
60,516,516,221880,2218800
1510,517,517,490633,4906330
933,518,518,92204,922040
61,519,519,295830,2958300
1511,520,520,42640,426400
646,521,521,7294,72940
62,522,522,42804,428040
1808,523,523,488482,4884820
1809,524,524,6288,62880
934,525,525,180075,1800750
1810,526,526,322438,3224380
357,527,527,216070,2160700
2099,528,528,114048,1140480
2100,529,529,199433,1994330
2101,530,530,302630,3026300
63,531,531,206028,2060280
2102,532,532,482524,4825240
1230,533,533,309673,3096730
1811,534,534,137772,1377720
2103,535,535,304950,3049500
647,536,536,59496,594960
648,537,537,266889,2668890
1812,538,538,44116,441160
649,539,539,51744,517440
1512,540,540,867780,8677800
1513,541,541,220728,2207280
1514,542,542,549588,5495880
1231,543,543,1086,10860
2104,544,544,719168,7191680
2105,545,545,340625,3406250
358,546,546,92274,922740
650,547,547,569974,5699740
2106,548,548,44936,449360
651,549,549,517707,5177070
935,550,550,7700,77000
2107,551,551,224808,2248080
1813,552,552,893688,8936880
652,553,553,268758,2687580
359,554,554,226032,2260320
1515,555,555,19425,194250
936,556,556,150120,1501200
937,557,557,281842,2818420
1814,558,558,190278,1902780
360,559,559,145899,1458990
64,560,560,56560,565600
653,561,561,46002,460020
654,562,562,46084,460840
1232,563,563,289382,2893820
1233,564,564,395364,3953640
2108,565,565,220915,2209150
655,566,566,320922,3209220
656,567,567,95823,958230
1516,568,568,46576,465760
361,569,569,101851,1018510
938,570,570,9690,96900
1815,571,571,100496,1004960
1816,572,572,153868,1538680
657,573,573,46986,469860
939,574,574,103894,1038940
65,575,575,259900,2599000
658,576,576,63936,639360
659,577,577,200219,2002190
1517,578,578,329460,3294600
2109,579,579,327714,3277140
1817,580,580,546940,5469400
66,581,581,327684,3276840
940,582,582,236874,2368740
362,583,583,434335,4343350
2110,584,584,331712,3317120
2111,585,585,100620,1006200
941,586,586,1250524,12505240
660,587,587,48134,481340
2112,588,588,5880,58800
942,589,589,87761,877610
1518,590,590,230690,2306900
1818,591,591,253539,2535390
2113,592,592,150368,1503680
943,593,593,338010,3380100
2114,594,594,203148,2031480
363,595,595,28560,285600
1234,596,596,48872,488720
364,597,597,203577,2035770
2115,598,598,563914,5639140
365,599,599,246189,2461890
1235,600,600,244800,2448000
944,601,601,341969,3419690
2116,602,602,130032,1300320
1819,603,603,490239,4902390
67,604,604,49528,495280
661,605,605,350295,3502950
1236,606,606,102414,1024140
68,607,607,102583,1025830
1237,608,608,666368,6663680
662,609,609,13398,133980
1238,610,610,201910,2019100
1239,611,611,50102,501020
1519,612,612,165240,1652400
1240,613,613,487335,4873350
1241,614,614,108678,1086780
945,615,615,252150,2521500
69,616,616,251328,2513280
70,617,617,159186,1591860
1242,618,618,54384,543840
663,619,619,59424,594240
1243,620,620,456320,4563200
1244,621,621,221697,2216970
1820,622,622,156744,1567440
2117,623,623,587489,5874890
664,624,624,61152,611520
1821,625,625,216875,2168750
71,626,626,451346,4513460
946,627,627,1141767,11417670
2118,628,628,20096,200960
665,629,629,711399,7113990
366,630,630,738360,7383600
666,631,631,206968,2069680
367,632,632,267968,2679680
1520,633,633,106977,1069770
2119,634,634,107146,1071460
947,635,635,225425,2254250
2120,636,636,62328,623280
1822,637,637,115297,1152970
368,638,638,992728,9927280
1823,639,639,61344,613440
948,640,640,109440,1094400
1521,641,641,508313,5083130
1824,642,642,261936,2619360
949,643,643,166537,1665370
1245,644,644,296240,2962400
2121,645,645,71595,715950
369,646,646,166668,1666680
1522,647,647,447724,4477240
667,648,648,274752,2747520
1246,649,649,857978,8579780
1523,650,650,109850,1098500
2122,651,651,1160733,11607330
950,652,652,413368,4133680
951,653,653,888080,8880800
1247,654,654,66054,660540
1524,655,655,223355,2233550
72,656,656,373920,3739200
73,657,657,118917,1189170
1825,658,658,325052,3250520
1248,659,659,400013,4000130
668,660,660,63360,633600
669,661,661,265061,2650610
2123,662,662,239644,2396440
1249,663,663,271830,2718300
1250,664,664,205840,2058400
2124,665,665,273315,2733150
670,666,666,63936,639360
952,667,667,380190,3801900
1525,668,668,231796,2317960
2125,669,669,2676,26760
1251,670,670,54940,549400
74,671,671,43615,436150
2126,672,672,116256,1162560
1826,673,673,958352,9583520
1526,674,674,261512,2615120
75,675,675,795825,7958250
671,676,676,842972,8429720
2127,677,677,66346,663460
76,678,678,65088,650880
2128,679,679,277711,2777110
1827,680,680,289000,2890000
1527,681,681,55842,558420
953,682,682,69564,695640
370,683,683,338085,3380850
672,684,684,645012,6450120
1528,685,685,135630,1356300
954,686,686,1481760,14817600
371,687,687,61830,618300
1252,688,688,392160,3921600
372,689,689,609765,6097650
1253,690,690,429870,4298700
77,691,691,460897,4608970
1828,692,692,1309264,13092640
955,693,693,444213,4442130
373,694,694,56908,569080
673,695,695,241165,2411650
674,696,696,199752,1997520
2129,697,697,57154,571540
1829,698,698,57236,572360
675,699,699,1198086,11980860
78,700,700,57400,574000
1254,701,701,50472,504720
956,702,702,661986,6619860
676,703,703,929366,9293660
1255,704,704,78848,788480
2130,705,705,1425510,14255100
1256,706,706,393948,3939480
2131,707,707,299768,2997680
79,708,708,1603620,16036200
1529,709,709,233261,2332610
1257,710,710,58220,582200
677,711,711,324216,3242160
2132,712,712,58384,583840
678,713,713,69874,698740
1258,714,714,236334,2363340
1259,715,715,120835,1208350
374,716,716,415996,4159960
957,717,717,447408,4474080
1830,718,718,72518,725180
375,719,719,142362,1423620
679,720,720,59040,590400
80,721,721,72821,728210
376,722,722,135736,1357360
1831,723,723,439584,4395840
1832,724,724,140456,1404560
680,725,725,59450,594500
81,726,726,367356,3673560
1530,727,727,122863,1228630
681,728,728,186368,1863680
82,729,729,234738,2347380
682,730,730,275940,2759400
1531,731,731,312868,3128680
683,732,732,1182912,11829120
1833,733,733,310792,3107920
377,734,734,256166,2561660
1834,735,735,618135,6181350
684,736,736,60352,603520
2133,737,737,76648,766480
958,738,738,66420,664200
685,739,739,183272,1832720
959,740,740,74740,747400
83,741,741,1423461,14234610
960,742,742,253022,2530220
378,743,743,303144,3031440
1835,744,744,130944,1309440
686,745,745,1434870,14348700
1532,746,746,622910,6229100
687,747,747,384705,3847050
379,748,748,1064404,10644040
84,749,749,108605,1086050
1260,750,750,61500,615000
85,751,751,527953,5279530
961,752,752,471504,4715040
2134,753,753,246984,2469840
1836,754,754,61828,618280
1261,755,755,157795,1577950
1262,756,756,61992,619920
86,757,757,143830,1438300
1533,758,758,1464456,14644560
1263,759,759,765831,7658310
1534,760,760,1038920,10389200
2135,761,761,445185,4451850
688,762,762,128778,1287780
380,763,763,225848,2258480
2136,764,764,451524,4515240
1264,765,765,390150,3901500
2137,766,766,166988,1669880
381,767,767,137293,1372930
962,768,768,688896,6888960
1837,769,769,438330,4383300
87,770,770,401170,4011700
1265,771,771,133383,1333830
88,772,772,67936,679360
382,773,773,207937,2079370
1838,774,774,907128,9071280
2138,775,775,1521325,15213250
383,776,776,13192,131920
689,777,777,150738,1507380
2139,778,778,78578,785780
89,779,779,684741,6847410
384,780,780,74880,748800
1266,781,781,76538,765380
385,782,782,240856,2408560
963,783,783,585684,5856840
2140,784,784,75264,752640
1839,785,785,332840,3328400
1535,786,786,64452,644520
90,787,787,388778,3887780
690,788,788,64616,646160
1840,789,789,895515,8955150
386,790,790,71100,711000
964,791,791,64862,648620
691,792,792,80784,807840
2141,793,793,306098,3060980
1841,794,794,65108,651080
1842,795,795,1780800,17808000
1267,796,796,1054700,10547000
692,797,797,702157,7021570
91,798,798,114912,1149120
1536,799,799,200549,2005490
1843,800,800,1237600,12376000
1844,801,801,3204,32040
92,802,802,222956,2229560
1845,803,803,327624,3276240
693,804,804,9648,96480
2142,805,805,66010,660100
694,806,806,14508,145080
1537,807,807,217890,2178900
93,808,808,313504,3135040
695,809,809,136721,1367210
1846,810,810,255960,2559600
965,811,811,91643,916430
387,812,812,95004,950040
1268,813,813,172356,1723560
696,814,814,135124,1351240
966,815,815,66830,668300
388,816,816,66912,669120
94,817,817,143792,1437920
1538,818,818,1384874,13848740
95,819,819,309582,3095820
1269,820,820,145960,1459600
967,821,821,806222,8062220
968,822,822,91242,912420
1847,823,823,67486,674860
389,824,824,123600,1236000
390,825,825,139425,1394250
96,826,826,69384,693840
697,827,827,1344702,13447020
2143,828,828,81144,811440
391,829,829,472530,4725300
1539,830,830,68060,680600
698,831,831,411345,4113450
97,832,832,463424,4634240
969,833,833,484806,4848060
2144,834,834,663864,6638640
1848,835,835,1261685,12616850
970,836,836,114532,1145320
1540,837,837,974268,9742680
392,838,838,68716,687160
1849,839,839,211428,2114280
1270,840,840,141960,1419600
98,841,841,484416,4844160
2145,842,842,479940,4799400
971,843,843,1027617,10276170
2146,844,844,85244,852440
699,845,845,1978990,19789900
1271,846,846,142974,1429740
99,847,847,422653,4226530
393,848,848,1266064,12660640
2147,849,849,79806,798060
100,850,850,168300,1683000
1850,851,851,87653,876530
101,852,852,530796,5307960
102,853,853,201308,2013080
1272,854,854,159698,1596980
972,855,855,352260,3522600
2148,856,856,299600,2996000
1851,857,857,413074,4130740
1273,858,858,1134276,11342760
103,859,859,363357,3633570
394,860,860,80840,808400
395,861,861,1009092,10090920
104,862,862,222396,2223960
973,863,863,1495579,14955790
1852,864,864,1040256,10402560
2149,865,865,70930,709300
974,866,866,71012,710120
1541,867,867,177735,1777350
396,868,868,146692,1466920
2150,869,869,548339,5483390
1274,870,870,53940,539400
105,871,871,428532,4285320
2151,872,872,145624,1456240
975,873,873,378009,3780090
106,874,874,299782,2997820
107,875,875,1034250,10342500
700,876,876,71832,718320
397,877,877,1045384,10453840
701,878,878,15804,158040
1853,879,879,305013,3050130
1275,880,880,1493360,14933600
108,881,881,426404,4264040
702,882,882,72324,723240
398,883,883,774391,7743910
1854,884,884,72488,724880
109,885,885,298245,2982450
703,886,886,226816,2268160
110,887,887,422212,4222120
111,888,888,158952,1589520
1855,889,889,150241,1502410
1542,890,890,141510,1415100
2152,891,891,744876,7448760
1543,892,892,19624,196240
1276,893,893,16074,160740
2153,894,894,452364,4523640
976,895,895,564745,5647450
112,896,896,1587712,15877120
704,897,897,825240,8252400
977,898,898,159844,1598440
2154,899,899,2105458,21054580
1856,900,900,423900,4239000
978,901,901,73882,738820
113,902,902,954316,9543160
979,903,903,1095339,10953390
1544,904,904,960048,9600480
705,905,905,74210,742100
1277,906,906,458436,4584360
399,907,907,153283,1532830
1278,908,908,2120180,21201800
1279,909,909,347238,3472380
1545,910,910,15470,154700
980,911,911,528380,5283800
981,912,912,302784,3027840
114,913,913,311333,3113330
706,914,914,501786,5017860
400,915,915,376065,3760650
707,916,916,1087292,10872920
1857,917,917,156807,1568070
401,918,918,10098,100980
115,919,919,523830,5238300
2155,920,920,949440,9494400
1858,921,921,460500,4605000
1280,922,922,75604,756040
1281,923,923,75686,756860
1859,924,924,167244,1672440
708,925,925,530025,5300250
709,926,926,1686246,16862460
1546,927,927,750870,7508700
1547,928,928,166112,1661120
1860,929,929,261049,2610490
1548,930,930,379440,3794400
710,931,931,915173,9151730
1282,932,932,178012,1780120
1283,933,933,362004,3620040
1861,934,934,499690,4996900
711,935,935,815320,8153200
1549,936,936,76752,767520
1284,937,937,158353,1583530
1285,938,938,997094,9970940
402,939,939,675141,6751410
116,940,940,123140,1231400
1862,941,941,2823,28230
2156,942,942,1081416,10814160
1550,943,943,90528,905280
1551,944,944,256768,2567680
712,945,945,1890,18900
982,946,946,650848,6508480
1286,947,947,385429,3854290
1552,948,948,537516,5375160
117,949,949,315068,3150680
1287,950,950,91200,912000
983,951,951,97002,970020
1863,952,952,1964928,19649280
984,953,953,93394,933940
985,954,954,170766,1707660
1864,955,955,78310,783100
118,956,956,78392,783920
1553,957,957,398112,3981120
119,958,958,245248,2452480
2157,959,959,518819,5188190
403,960,960,1367040,13670400
713,961,961,333467,3334670
714,962,962,78884,788840
1865,963,963,327420,3274200
404,964,964,479108,4791080
1288,965,965,57900,579000
1289,966,966,1563954,15639540
1290,967,967,98634,986340
120,968,968,403656,4036560
405,969,969,163761,1637610
1554,970,970,1963280,19632800
2158,971,971,1447761,14477610
406,972,972,95256,952560
986,973,973,321090,3210900
2159,974,974,417846,4178460
715,975,975,462150,4621500
1291,976,976,263520,2635200
407,977,977,610625,6106250
121,978,978,1776048,17760480
1292,979,979,415096,4150960
122,980,980,961380,9613800
2160,981,981,549360,5493600
1866,982,982,404584,4045840
716,983,983,485602,4856020
408,984,984,536280,5362800
409,985,985,572285,5722850
1867,986,986,90712,907120
1293,987,987,80934,809340
987,988,988,176852,1768520
1555,989,989,2000747,20007470
1868,990,990,1767150,17671500
717,991,991,248741,2487410
2161,992,992,325376,3253760
410,993,993,502458,5024580
1556,994,994,176932,1769320
123,995,995,405960,4059600
1294,996,996,341628,3416280
2162,997,997,2018925,20189250
1295,998,998,568860,5688600
124,999,999,625374,6253740
125,1000,1000,125000,1250000
1557,1001,1001,668668,6686680
1296,1002,1002,341682,3416820
718,1003,1003,425272,4252720
1558,1004,1004,342364,3423640
411,1005,1005,1660260,16602600
2163,1006,1006,2030108,20301080
988,1007,1007,82574,825740
1559,1008,1008,1404144,14041440
719,1009,1009,415708,4157080
412,1010,1010,12120,121200
720,1011,1011,118287,1182870
413,1012,1012,1076768,10767680
2164,1013,1013,1018065,10180650
1869,1014,1014,998790,9987900
1297,1015,1015,988610,9886100
1298,1016,1016,1871472,18714720
1560,1017,1017,1396341,13963410
1299,1018,1018,505946,5059460
126,1019,1019,315890,3158900
989,1020,1020,18360,183600
414,1021,1021,83722,837220
1870,1022,1022,367920,3679200
990,1023,1023,1529385,15293850
1871,1024,1024,14336,143360
2165,1025,1025,84050,840500
1561,1026,1026,1662120,16621200
127,1027,1027,101673,1016730
1562,1028,1028,505776,5057760
1563,1029,1029,689430,6894300
721,1030,1030,1207160,12071600
2166,1031,1031,357757,3577570
991,1032,1032,522192,5221920
415,1033,1033,174577,1745770
1300,1034,1034,163372,1633720
128,1035,1035,10350,103500
1564,1036,1036,600880,6008800
992,1037,1037,175253,1752530
722,1038,1038,85116,851160
723,1039,1039,171435,1714350
993,1040,1040,423280,4232800
416,1041,1041,280029,2800290
129,1042,1042,105242,1052420
417,1043,1043,45892,458920
130,1044,1044,85608,856080
2167,1045,1045,528770,5287700
2168,1046,1046,523000,5230000
2169,1047,1047,1589346,15893460
994,1048,1048,93272,932720
131,1049,1049,444776,4447760
995,1050,1050,1388100,13881000
132,1051,1051,923829,9238290
996,1052,1052,420800,4208000
1301,1053,1053,86346,863460
